# OBJECT = MAXI_J1535-571
# INST = NICER
# TODAY = 2018-07-03 18:03:36.031125
# INFILE = /Users/abbie/Dropbox/Research/MAXIJ1535_B-QPO/in/rise_evtlists.txt
# N_BINS = 16384
# DT = 0.003906250 s
# DF = 0.015625000 Hz
# N_SECOND = 64
# 
# ni+obsID start_time end_time total_rate broad_rate rms hard_rate soft_rate hardness nz_rate ibg_rate hrej_rate
# 
1050360105 116742202.000000000 116742266.000000000 7454.375000 2789.937500 0.140704205 130.437500 2241.359375 0.05819571 0.718750 0.015625 0.109375
1050360105 116742266.000000000 116742330.000000000 7585.578125 2851.875000 0.144988563 131.062500 2262.875000 0.05791858 0.531250 0.000000 0.078125
1050360105 116742330.000000000 116742394.000000000 7605.250000 2862.843750 0.140624444 135.953125 2276.015625 0.05973295 0.437500 0.000000 0.109375
1050360105 116742394.000000000 116742458.000000000 7545.218750 2834.656250 0.145879643 132.375000 2254.531250 0.05871509 0.390625 0.015625 0.078125
1050360105 116742458.000000000 116742522.000000000 7394.687500 2761.421875 0.146060212 126.531250 2232.968750 0.05666503 0.203125 0.000000 0.046875
1050360105 116742522.000000000 116742586.000000000 7558.843750 2844.953125 0.135742644 134.687500 2261.406250 0.05955918 0.359375 0.000000 0.031250
1050360105 116742586.000000000 116742650.000000000 7509.234375 2811.703125 0.137241200 131.375000 2245.500000 0.05850590 0.390625 0.000000 0.046875
1050360105 116742650.000000000 116742714.000000000 7515.921875 2826.343750 0.141947188 127.703125 2244.718750 0.05689048 0.453125 0.000000 0.125000
1050360105 116742714.000000000 116742778.000000000 7533.250000 2826.421875 0.142087824 130.515625 2261.500000 0.05771197 0.468750 0.000000 0.062500
1050360105 116742778.000000000 116742842.000000000 7540.765625 2834.640625 0.141487597 129.875000 2247.703125 0.05778121 0.375000 0.000000 0.109375
1050360105 116742842.000000000 116742906.000000000 7565.593750 2828.453125 0.142841146 128.312500 2268.328125 0.05656699 0.312500 0.000000 0.109375
1050360105 116746268.000000000 116746332.000000000 7328.312500 2759.531250 0.148003225 130.796875 2194.687500 0.05959704 1.234375 0.000000 0.078125
1050360105 116746332.000000000 116746396.000000000 7406.453125 2790.765625 0.146526958 131.328125 2218.890625 0.05918639 1.203125 0.000000 0.093750
1050360105 116746396.000000000 116746460.000000000 7396.656250 2777.796875 0.140396338 129.953125 2219.500000 0.05855063 0.765625 0.015625 0.156250
1050360105 116746460.000000000 116746524.000000000 7432.703125 2811.265625 0.143795625 132.015625 2226.000000 0.05930621 1.031250 0.000000 0.093750
1050360105 116746524.000000000 116746588.000000000 7359.921875 2760.640625 0.138381802 130.140625 2211.875000 0.05883724 0.828125 0.000000 0.093750
1050360105 116746588.000000000 116746652.000000000 7495.718750 2839.062500 0.146871920 132.656250 2229.171875 0.05950921 0.796875 0.000000 0.093750
1050360105 116746652.000000000 116746716.000000000 7292.453125 2746.843750 0.146481620 132.968750 2194.406250 0.06059441 0.703125 0.000000 0.046875
1050360105 116746716.000000000 116746780.000000000 7431.750000 2813.140625 0.141152809 137.218750 2207.984375 0.06214661 0.750000 0.031250 0.093750
1050360105 116746780.000000000 116746844.000000000 7400.015625 2800.171875 0.144514542 135.953125 2204.734375 0.06166417 0.718750 0.015625 0.109375
1050360105 116746844.000000000 116746908.000000000 7351.281250 2769.578125 0.149441534 135.656250 2203.593750 0.06156137 0.656250 0.000000 0.187500
1050360105 116746908.000000000 116746972.000000000 7458.062500 2822.390625 0.144996320 135.750000 2221.031250 0.06112026 0.734375 0.015625 0.046875
1050360105 116746972.000000000 116747036.000000000 7437.093750 2816.937500 0.138676532 134.906250 2218.687500 0.06080453 0.531250 0.015625 0.078125
1050360105 116751827.000000000 116751891.000000000 7408.218750 2783.171875 0.142794728 130.031250 2219.687500 0.05858088 0.796875 0.000000 0.062500
1050360105 116751891.000000000 116751955.000000000 7538.703125 2836.531250 0.138889158 132.000000 2256.890625 0.05848755 0.875000 0.000000 0.109375
1050360105 116751955.000000000 116752019.000000000 7483.109375 2829.656250 0.140436839 131.859375 2231.484375 0.05909043 1.000000 0.000000 0.093750
1050360105 116752019.000000000 116752083.000000000 7458.921875 2811.328125 0.149772105 130.406250 2237.765625 0.05827520 1.031250 0.000000 0.156250
1050360105 116752083.000000000 116752147.000000000 7535.656250 2840.312500 0.149462205 131.843750 2253.968750 0.05849405 0.937500 0.000000 0.031250
